Domain,Emissions,OutlookEmissions,ActivityElement,EFLag,GHG
GR,72255,EM_CH4,AH,1,CH4
GR,72315,EM_CH4Eq,AH,1,CH4_CO2Eq
GM,72256,EM_CH4,LI,1,CH4
GM,72446,EM_CH4Eq,LI,1,CH4_CO2Eq
GM,72306,EM_N2O,LI,1,N2O
GM,72436,EM_N2OEq,LI,1,N2O_CO2Eq
GM,72256,EM_CH4,CI,1,CH4
GM,72446,EM_CH4Eq,CI,1,CH4_CO2Eq
GM,72306,EM_N2O,CI,1,N2O
GM,72436,EM_N2OEq,CI,1,N2O_CO2Eq
GE,72254,EM_CH4,CI,1,CH4
GE,72314,EM_CH4Eq,CI,1,CH4_CO2Eq
GE,72254,EM_CH4,LI,1,CH4
GE,72314,EM_CH4Eq,LI,1,CH4_CO2Eq
GU,72301,EM_N2O,LI,1,N2O
GU,72311,EM_N2OEq,LI,1,N2O_CO2Eq
GU,72301,EM_N2O,CI,1,N2O
GU,72311,EM_N2OEq,CI,1,N2O_CO2Eq
GP,72300,EM_N2O,CI,1,N2O
GP,72310,EM_N2OEq,CI,1,N2O_CO2Eq
GP,72300,EM_N2O,LI,1,N2O
GP,72310,EM_N2OEq,LI,1,N2O_CO2Eq
